band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
beta,21.0,0.6206845358635482,1.0876938176807016e-05,0.4423950799231674,3,5,0.25,1024,0.82
beta,22.0,0.594798206042757,1.076601074601058e-05,0.5039744626232712,3,5,0.25,1024,0.82
beta,23.0,0.29411460153327507,1.050035371008562e-05,0.7736687080102687,3,5,0.25,1024,0.82
beta,24.0,0.5807951284263017,1.0136692253581714e-05,0.9521371106066548,3,5,0.25,1024,0.82
beta,25.0,0.6183061827635237,9.750447134138083e-06,0.9804394631126824,3,5,0.25,1024,0.82
beta,26.0,0.4119227752783554,9.417393812327646e-06,0.9679797197559992,3,5,0.25,1024,0.82
beta,27.0,0.6105930281267896,9.198491170536728e-06,0.8307295205029177,3,5,0.25,1024,0.82
beta,28.0,0.5288225840011085,9.1305573732825e-06,0.5321473151719207,3,5,0.25,1024,0.82
beta,29.0,0.8908007631873907,9.221892469213344e-06,0.6943115121888868,3,5,0.25,1024,0.82
beta,30.0,0.9589617980074661,9.451146979699844e-06,0.917512012235832,3,5,0.25,1024,0.82
beta,31.0,0.45811734502791124,9.769471944309773e-06,0.9668214555252668,3,5,0.25,1024,0.82
beta,32.0,0.9273760088139926,1.0107889465871269e-05,0.9744695746666864,3,5,0.25,1024,0.82
beta,33.0,0.2912655383911088,1.0391029718448408e-05,0.9675652525642002,3,5,0.25,1024,0.82
beta,34.0,0.6167253763287778,1.0555455446592532e-05,0.8283960590382018,3,5,0.25,1024,0.82
beta,35.0,0.7340880695625617,1.0566648597887252e-05,0.605998045633671,3,5,0.25,1024,0.82
beta,36.0,0.32795863570036005,1.042805251927348e-05,0.7951618331302844,3,5,0.25,1024,0.82
beta,37.0,0.9698498704754439,1.017847353068646e-05,0.9287966100964906,3,5,0.25,1024,0.82
beta,38.0,0.4717110208755739,9.87848216027487e-06,0.9790346182910497,3,5,0.25,1024,0.82
beta,39.0,0.4722415041407644,9.59090539254248e-06,0.9760269691682764,3,5,0.25,1024,0.82
beta,40.0,0.22599623196775132,9.363002391182818e-06,0.916314628191574,3,5,0.25,1024,0.82
beta,41.0,0.9905822088922019,9.216045327775646e-06,0.6000265597445414,3,5,0.25,1024,0.82
beta,42.0,0.842112799390445,9.144653631665278e-06,0.2746042163188166,3,5,0.25,1024,0.82
beta,43.0,0.7093713461040712,9.12499672267586e-06,0.0402574360596649,3,5,0.25,1024,0.82
beta,44.0,0.2963620594607579,9.1278907348169e-06,-0.0182968151346987,3,5,0.25,1024,0.82
beta,45.0,0.477299481077734,9.131302249443252e-06,-0.0293651173897669,3,5,0.25,1024,0.82
beta,46.0,0.41813287179871195,9.12750510906335e-06,-0.0322364535266407,3,5,0.25,1024,0.82
beta,47.0,0.9786315120247994,9.12308769329684e-06,-0.0173742352813675,3,5,0.25,1024,0.82
beta,48.0,0.28406595274636603,9.133215826295782e-06,0.0626347586570492,3,5,0.25,1024,0.82
beta,49.0,0.8445719870624445,9.174042133963669e-06,0.2829458963759497,3,5,0.25,1024,0.82
beta,50.0,0.398182157320246,9.257043529942166e-06,0.3806368447540411,3,5,0.25,1024,0.82
beta,51.0,0.30149033734284814,9.38656557991635e-06,0.3494699191201515,3,5,0.25,1024,0.82
beta,52.0,0.8976252676662614,9.558744750393087e-06,0.4504033935485835,3,5,0.25,1024,0.82
beta,53.0,0.8317297465731759,9.760023203853052e-06,0.5069289312088221,3,5,0.25,1024,0.82
beta,54.0,0.7170205479789443,9.965799108613282e-06,0.4353782312294796,3,5,0.25,1024,0.82
beta,55.0,0.1506161353061106,1.0141910934180489e-05,0.3960843464072722,3,5,0.25,1024,0.82
beta,56.0,0.784556525102229,1.0251508683722932e-05,0.3483848157611119,3,5,0.25,1024,0.82
beta,57.0,0.6356972209843266,1.0266568096994888e-05,0.3001815981305608,3,5,0.25,1024,0.82
beta,58.0,0.53062868421894,1.0179692253586836e-05,0.5865585847388296,3,5,0.25,1024,0.82
beta,59.0,0.20862633736908776,1.0009594916482456e-05,0.7861543248051199,3,5,0.25,1024,0.82
beta,60.0,0.7395481292802584,9.796512131288182e-06,0.8183948468370832,3,5,0.25,1024,0.82
beta,61.0,0.23610995933808956,9.588625289325137e-06,0.6876034612219003,3,5,0.25,1024,0.82
beta,62.0,0.25976733106444516,9.42580390983494e-06,0.3702553833718894,3,5,0.25,1024,0.82
beta,63.0,0.7498096898753285,9.327295629191212e-06,0.1100334074461726,3,5,0.25,1024,0.82
beta,64.0,0.8869820931661904,9.288304681831503e-06,0.0242718144122043,3,5,0.25,1024,0.82
beta,65.0,0.7632341373490794,9.28546523937257e-06,0.0014801454801365,3,5,0.25,1024,0.82
beta,66.0,0.4429076918458247,9.288401997764597e-06,-0.0137786193258533,3,5,0.25,1024,0.82
beta,67.0,0.6514806865749776,9.271832823287696e-06,0.0225168131093283,3,5,0.25,1024,0.82
beta,68.0,0.10433770682551297,9.224462701240554e-06,0.1473963521345308,3,5,0.25,1024,0.82
beta,69.0,0.9208208477172752,9.15250802790979e-06,0.3135423355292376,3,5,0.25,1024,0.82
beta,70.0,0.15258990141041542,9.077253707800992e-06,0.3014787455993538,3,5,0.25,1024,0.82
beta,71.0,0.7860748756089989,9.027347914525308e-06,0.1804262312983488,3,5,0.25,1024,0.82
beta,72.0,0.35644273732463216,9.028485692397226e-06,0.0785555983151755,3,5,0.25,1024,0.82
beta,73.0,0.951322604254983,9.093308108276688e-06,0.0476400008129077,3,5,0.25,1024,0.82
beta,74.0,0.1952156595133635,9.215028512699064e-06,0.0871521126215595,3,5,0.25,1024,0.82
beta,75.0,0.6471517839558576,9.368157407152466e-06,0.2201400279300759,3,5,0.25,1024,0.82
beta,76.0,0.7776634492944879,9.516827049083076e-06,0.3460153198150557,3,5,0.25,1024,0.82
beta,77.0,0.7850737587104636,9.627988220017867e-06,0.3787167535405359,3,5,0.25,1024,0.82
beta,78.0,0.7966450299154644,9.685049917607104e-06,0.2162841523434024,3,5,0.25,1024,0.82
beta,79.0,0.6557827277198202,9.696178494777996e-06,0.0440512306599016,3,5,0.25,1024,0.82
beta,80.0,0.5784605207758557,9.693392712506466e-06,0.040650050793265,3,5,0.25,1024,0.82
beta,81.0,0.3400661662413498,9.722238246467896e-06,0.26968351704991,3,5,0.25,1024,0.82
beta,82.0,0.9214550055688127,9.826043424254747e-06,0.7127294871729419,3,5,0.25,1024,0.82
beta,83.0,0.45327626656262043,1.0030047633335926e-05,0.9555766349613553,3,5,0.25,1024,0.82
beta,84.0,0.24528312359730253,1.0331712473998778e-05,0.9855196762443992,3,5,0.25,1024,0.82
beta,85.0,0.6143188500427685,1.0700690836529247e-05,0.9896960913554186,3,5,0.25,1024,0.82
